SentBase;SentFull;SentFrench;SentAudio;VocabBase;VocabFull;VocabDef;VocabAudio;Image;Focus;Tags;Note
<b>مصر</b> بلد كبير;<b>مِصْرُ</b> بَلَدٌ كَبِيرٌ;L'Égypte est un grand pays.;[sound:73_egypte_sentBase.mp3];مصر;مِصْرُ;Égypte;[sound:73_egypte_vocabBase.mp3];"<img src=""73_egypte.avif"">";73;F2K;"pays;"
أنا في <b>قطر</b>;أَنَا فِي <b>قَطَرَ</b>;Je suis au Qatar.;[sound:74_qatar_sentBase.mp3];قطر;قَطَرُ;Qatar;[sound:74_qatar_vocabBase.mp3];"<img src=""74_qatar.avif"">";74;F2K;"pays;"
أنا في <b>عمان</b>;أَنَا فِي <b>عُمَانَ</b>;Je suis à Oman.;[sound:75_oman_sentBase.mp3];عمان;عُمَانُ;Oman;[sound:75_oman_vocabBase.mp3];"<img src=""75_oman.avif"">";75;F2K;"pays;"
هذا <b>صديقي</b>;هَذَا <b>صَدِيقِي</b>;C'est mon ami.;[sound:76_ami_sentBase.mp3];صديق;صَدِيقٌ;ami;[sound:76_ami_vocabBase.mp3];"<img src=""76_ami.avif"">";76;F2K;"relation;"
هذه <b>صديقة</b>;هَذِهِ <b>صَدِيقَةٌ</b>;C'est une amie.;[sound:77_amie_sentBase.mp3];صديقة;صَدِيقَةٌ;amie;[sound:77_amie_vocabBase.mp3];"<img src=""77_amie.avif"">";77;F2K;"relation;"
أريد أن <b>أشتري</b>;أُرِيدُ أَنْ <b>أَشْتَرِيَ</b>;Je veux acheter.;[sound:78_acheter_sentBase.mp3];أشتري;أَشْتَرِي;acheter;[sound:78_acheter_vocabBase.mp3];"<img src=""78_acheter.avif"">";78;F2K;"verbe acheter;"
<b>أشتري</b> خبزاً;<b>أَشْتَرِي</b> خُبْزًا;J'achète du pain.;[sound:79_j_achete_sentBase.mp3];أشتري;أَشْتَرِي;j'achète;[sound:79_j_achete_vocabBase.mp3];"<img src=""79_j_achete.avif"">";79;F2K;"verbe acheter;"
<b>كم</b> هذا؟;<b>كَمْ</b> هَذَا؟;Combien ça coûte ?;[sound:80_combien_sentBase.mp3];كم;كَمْ;combien;[sound:80_combien_vocabBase.mp3];"<img src=""80_combien.avif"">";80;F2K;"mot-question;"
هذا <b>غال</b>;هَذَا <b>غَالٍ</b>;C'est cher.;[sound:81_cher_sentBase.mp3];غال;غَالٍ;cher;[sound:81_cher_vocabBase.mp3];"<img src=""81_cher.avif"">";81;F2K;"prix;"
هذا <b>رخيص</b>;هَذَا <b>رَخِيصٌ</b>;C'est bon marché.;[sound:82_cher_sentBase.mp3];رخيص;رَخِيصٌ;bon marché;[sound:82_cher_vocabBase.mp3];"<img src=""82_cher.avif"">";82;F2K;"prix;"
أحب الاستماع إلى <b>بودكاست</b> بالعربية;أُحِبُّ الاِسْتِمَاعَ إِلَى <b>بُودْكَاسْت</b> بِالْعَرَبِيَّةِ;J'aime écouter des podcasts en arabe.;[sound:83_podcasts_sentBase.mp3];بودكاست;بُودْكَاسْت;podcast;[sound:83_podcasts_vocabBase.mp3];"<img src=""83_podcasts.avif"">";83;F2K;"mot moderne;"
أستمع إلى <b>القرآن</b>;أَسْتَمِعُ إِلَى <b>الْقُرْآنِ</b>;J'écoute le Coran.;[sound:84_coran_sentBase.mp3];القرآن;الْقُرْآنُ;Coran;[sound:84_coran_vocabBase.mp3];"<img src=""84_coran.avif"">";84;F2K;"livre sacré;"
<b>أقرأ</b> كتاباً;<b>أَقْرَأُ</b> كِتَابًا;Je lis un livre.;[sound:85_lis_sentBase.mp3];أقرأ;أَقْرَأُ;je lis;[sound:85_lis_vocabBase.mp3];"<img src=""85_lis.avif"">";85;F2K;"verbe lire;"
<b>أشاهد</b> فيلماً;<b>أُشَاهِدُ</b> فِيلْمًا;Je regarde un film.;[sound:86_regarde_sentBase.mp3];أشاهد;أُشَاهِدُ;je regarde;[sound:86_regarde_vocabBase.mp3];"<img src=""86_regarde.avif"">";86;F2K;"verbe regarder;"
<b>أتكلم</b> العربية;<b>أَتَكَلَّمُ</b> الْعَرَبِيَّةَ;Je parle arabe.;[sound:87_parle_sentBase.mp3];أتكلم;أَتَكَلَّمُ;je parle;[sound:87_parle_vocabBase.mp3];"<img src=""87_parle.avif"">";87;F2K;"verbe parler;"
<b>هل</b> تتكلم العربية؟;<b>هَلْ</b> تَتَكَلَّمُ الْعَرَبِيَّةَ؟;Parles-tu arabe ?;[sound:88_parles_sentBase.mp3];هل;هَلْ;est-ce que;[sound:88_parles_vocabBase.mp3];"<img src=""88_parles.avif"">";88;F2K;"question;"
<b>نعم</b>، أتكلم العربية;<b>نَعَمْ</b>، أَتَكَلَّمُ الْعَرَبِيَّةَ;Oui, je parle arabe.;[sound:89_oui_sentBase.mp3];نعم;نَعَمْ;oui;[sound:89_oui_vocabBase.mp3];"<img src=""89_oui.avif"">";89;F2K;"réponse;"
<b>لا</b>، لا أتكلم;<b>لَا</b>، لَا أَتَكَلَّمُ;Non, je ne parle pas.;[sound:90_pas_sentBase.mp3];لا;لَا;non;[sound:90_pas_vocabBase.mp3];"<img src=""90_pas.avif"">";90;F2K;"négation;"
أنا <b>آكل</b> الآن;أَنَا <b>آكُلُ</b> الْآنَ;Je mange maintenant.;[sound:91_mange_sentBase.mp3];آكل;آكُلُ;je mange;[sound:91_mange_vocabBase.mp3];"<img src=""91_mange.avif"">";91;F2K;"verbe manger;"
أنا <b>أشرب</b> ماءً;أَنَا <b>أَشْرَبُ</b> مَاءً;Je bois de l'eau.;[sound:92_bois_sentBase.mp3];أشرب;أَشْرَبُ;je bois;[sound:92_bois_vocabBase.mp3];"<img src=""92_bois.avif"">";92;F2K;"verbe boire;"
أنا <b>أستطيع</b>;أَنَا <b>أَسْتَطِيعُ</b>;Je peux.;[sound:93_peux_sentBase.mp3];أستطيع;أَسْتَطِيعُ;je peux;[sound:93_peux_vocabBase.mp3];"<img src=""93_peux.avif"">";93;F2K;"verbe pouvoir;"
لا <b>أستطيع</b>;لَا <b>أَسْتَطِيعُ</b>;Je ne peux pas.;[sound:94_peux_sentBase.mp3];أستطيع;أَسْتَطِيعُ;je peux;[sound:94_peux_vocabBase.mp3];"<img src=""94_peux.avif"">";94;F2K;"verbe pouvoir;"
أريد أن <b>أذهب</b>;أُرِيدُ أَنْ <b>أَذْهَبَ</b>;Je veux partir.;[sound:95_partir_sentBase.mp3];أذهب;أَذْهَبُ;aller;[sound:95_partir_vocabBase.mp3];"<img src=""95_partir.avif"">";95;F2K;"verbe partir;"
أنا في <b>البيت</b>;أَنَا فِي <b>الْبَيْتِ</b>;Je suis à la maison.;[sound:96_maison_sentBase.mp3];البيت;الْبَيْتُ;maison;[sound:96_maison_vocabBase.mp3];"<img src=""96_maison.avif"">";96;F2K;"lieu;"
الولد <b>لطيف</b>;الْوَلَدُ <b>لَطِيفٌ</b>;Le garçon est gentil.;[sound:97_gentil_sentBase.mp3];لطيف;لَطِيفٌ;gentil;[sound:97_gentil_vocabBase.mp3];"<img src=""97_gentil.avif"">";97;F2K;"adjectif;"
البنت <b>لطيفة</b>;الْبِنْتُ <b>لَطِيفَةٌ</b>;La fille est gentille.;[sound:98_gentille_sentBase.mp3];لطيفة;لَطِيفَةٌ;gentille;[sound:98_gentille_vocabBase.mp3];"<img src=""98_gentille.avif"">";98;F2K;"adjectif;"
<b>الساعة</b> الثامنة;<b>السَّاعَةُ</b> الثَّامِنَةُ;Il est 8 heures.;[sound:99_heures_sentBase.mp3];الساعة;السَّاعَةُ;heure;[sound:99_heures_vocabBase.mp3];"<img src=""99_heures.avif"">";99;F2K;"sert à dire l'heure;"
